ticker,name,yf_sector,industry,close,adr,week_perf,rev_growth,market_cap,avg_vol60,natr50
327260.KQ,RF머트리얼즈,Technology,Electronic Components,35450.0,15.496739101721712,2.604920405209832,0.513,637653614592.0,119.26274667666667,12.388588195595958
003350.KS,한국화장품제조,Consumer Defensive,Household & Personal Products,13970.0,10.932856752993247,-3.053435114503822,0.276,253931749376.0,99.68702429,5.472840904228973
080580.KQ,오킨스전자,Technology,Semiconductor Equipment & Materials,19260.0,10.586122063423753,-0.7216494845360799,0.356,396393447424.0,49.72632366833333,9.16900833338392
322000.KS,HD현대에너지솔루션,Technology,Solar,133200.0,10.472461740745187,-1.4063656550703185,0.876,1492960018432.0,516.3048448833333,12.370982295880822
010060.KS,OCI홀딩스,Financial Services,Asset Management,262500.0,9.805544128680221,-4.545454545454541,0.318,2350029996032.0,734.7334214166666,10.153495562134985
241710.KQ,코스메카코리아,Consumer Defensive,Household & Personal Products,138900.0,9.70828358338396,-0.4301075268817178,0.398,1484520030208.0,131.50448191666666,5.5372466114193015
126640.KQ,화신정공,,,4595.0,9.479833519898984,0.9890109890109855,0.37349690634551025,161081917440.0,229.6100487083333,8.738865689988494
010170.KQ,대한광통신,Technology,Communication Equipment,13220.0,9.34734672916344,-2.0740740740740726,0.349,2055520518144.0,1437.1683542866665,12.158681664744247
077360.KQ,덕산하이메탈,,,9920.0,9.317097278206198,0.6085192697768749,0.5560405400698651,450735046656.0,78.16327945666667,11.993564005579424
083650.KQ,비에이치아이,,,60400.0,8.86064191814997,-4.881889763779523,1.0757275294661466,1868904923136.0,181.8720108833333,8.619809308489735
388050.KQ,지투파워,,,9530.0,8.823555116251413,-2.655771195097034,0.9234683983710354,178300928000.0,96.25642373666666,8.341279120839985
257720.KQ,실리콘투,Consumer Defensive,Household & Personal Products,52100.0,8.645398296744533,0.3853564547206201,0.411,3416522752000.0,440.9585826666667,5.689273098676466
425420.KQ,티에프이,Technology,Semiconductors,44600.0,8.517360418274155,-0.22371364653244186,0.468,529594155008.0,39.859446575,9.030149048703954
323280.KQ,태성,Industrials,Specialty Industrial Machinery,47850.0,8.00897793770754,-3.4308779011099855,2.533,1461242298368.0,127.60905367500001,9.519953627862868
125020.KQ,티씨머티리얼즈,Basic Materials,Copper,5540.0,7.9149215768856696,-0.8944543828264706,0.493,194105180160.0,42.03210377166667,9.898909703141372
001510.KS,SK증권,Financial Services,Capital Markets,2520.0,7.878552971278641,-4.725897920604916,1.741,527230042112.0,139.8683535516667,9.743257011453938
095340.KQ,ISC,,,161000.0,7.808614778234091,-2.601330913490618,1.1548297964827383,3303526891520.0,453.78731428333333,9.404247328911792
253590.KQ,네오셈,Technology,Semiconductors,10620.0,7.728862344731535,-3.9783001808318286,1.205,458276700160.0,43.804446033333335,9.535684537556776
039030.KQ,이오테크닉스,Technology,Semiconductor Equipment & Materials,392500.0,7.702880229371667,-2.241594022415938,0.356,4835423289344.0,665.3322490833333,9.172205895111073
036540.KQ,SFA반도체,Technology,Semiconductors,5820.0,7.376601052368947,0.1721170395869276,0.659,957555539968.0,133.754650075,9.423675445725936
192820.KS,코스맥스,Consumer Defensive,Household & Personal Products,292000.0,7.279237995487842,1.038062283737018,0.275,3312933404672.0,246.51540406666666,4.393741154267633
007660.KS,이수페타시스,Technology,Electronic Components,110900.0,7.233035090937845,3.741814780168373,0.574,8133741117440.0,975.5891452666667,8.326030929834692
128940.KS,한미약품,Healthcare,Drug Manufacturers - Specialty & Generic,485000.0,7.2150376554045215,-3.1936127744510934,0.293,6149904007168.0,554.5959295,6.78033060865168
089030.KQ,테크윙,Technology,Semiconductor Equipment & Materials,48100.0,6.969447408227847,-4.940711462450597,0.515,1717329723392.0,874.8978955583334,9.691663569623282
278470.KS,에이피알,Consumer Defensive,Household & Personal Products,443500.0,6.913200310664291,0.6810442678774065,1.23,16603822424064.0,1064.9106184166665,5.773382592665954
006910.KQ,보성파워텍,,,7100.0,6.539153874544912,0.56657223796035,1.3411101999652262,347401748480.0,93.93407444333334,9.607317338455688
006730.KQ,서부T&D,Consumer Cyclical,Lodging,10890.0,6.344202562909418,1.3966480446927276,0.654,693375598592.0,51.4641782,6.627600173057781
060250.KQ,NHN KCP,Technology,Software - Infrastructure,15070.0,6.28329651225914,-3.1491002570694038,0.275,568762040320.0,66.81810344333333,7.142079660184557
377300.KS,카카오페이,Technology,Software - Infrastructure,45950.0,6.149117737688203,-0.32537960954447387,0.406,6214524076032.0,128.14665412499997,6.395202495107492
357780.KQ,솔브레인,Basic Materials,Chemicals,343000.0,5.707348450082428,2.6946107784431073,0.259,2615431135232.0,247.40942808333332,7.6467110871755795
005070.KS,코스모신소재,Basic Materials,Specialty Chemicals,40300.0,5.48981051672901,2.154626108998725,0.61,1339733442560.0,44.27216486666667,7.120229065012163
003530.KS,한화투자증권,Financial Services,Capital Markets,4825.0,5.038641982671277,-4.075546719681911,1.067,1053279977472.0,69.37746318166666,7.420332235437669
000810.KS,삼성화재,Financial Services,Insurance - Property & Casualty,679000.0,4.6790664930596915,4.783950617283961,0.282,30035270434816.0,817.1515121666666,4.853180562114902
316140.KS,우리금융지주,Financial Services,Banks - Regional,34200.0,3.446670597679602,4.907975460122693,0.337,24898820898816.0,683.0139492083333,3.8415724121589485
