ticker,name,category,leverage,close,advol20,advol60,liq_ratio,contraction,vdu,ext,ret63,rs,near_high,natr50,adr20,week_perf,rs_pct,tier,score
ARKG,ARK Genomic Revolution ETF,바이오/헬스,1.0,51.63999938964844,221.07415076673507,163.95135160222372,1.3484131030715856,1.1148125611959234,1.6877381871229002,2.158932000562679,0.40097662871839845,0.3809562569657903,0.9913610911572037,3.041328126413937,3.3745218132979593,13.34503475217572,88.05970149253731,B,54.2
USO,United States Oil Fund,원자재/에너지,1.0,153.82000732421875,756.8000398141098,759.5154804362234,0.996424772513453,1.060137168431548,0.9763978172994295,2.0838282964843864,0.3390789905661047,0.3190586188134965,0.9416590240391073,3.2759611367342836,2.590090268870826,-0.6972153743190934,83.5820895522388,B,52.2
BSOL,Bitwise Solana Staking ETF,기타,1.0,15.729999542236328,59.28455965106011,37.59824353522142,1.5767906709664057,1.408184443822696,1.2239764911987663,2.9619773206449724,0.6734042745307871,0.6533839027781789,0.591353357768907,3.5730006097902014,3.6443962126733176,12.11689124462385,98.50746268656717,B,51.6
BWET,Breakwave Tanker Shipping ETF,기타,1.0,872.1400146484375,156.07840278686524,87.04379994326274,1.7931018968450474,1.5380751854215364,1.0938280235693598,6.649319865055319,3.1146442112816697,3.0946238395290617,1.0,3.517618886728939,7.528575350900435,19.97744389374281,100.0,B,51.4
PTIR,GraniteShares 2x Long PLTR Daily ETF,기타,2.0,19.059999465942383,62.196483414506915,67.84032118819873,0.9168070304673971,0.8813925854683136,0.7945044138054349,0.07414272057219644,0.6445210711827767,0.31225034971508425,0.4673859744110324,7.789511219823384,8.35986566351583,12.448369368905055,82.08955223880598,C,72.6
PLTU,Direxion Daily PLTR Bull 2X ETF,기타,2.0,51.130001068115234,49.66017103664398,83.4812181102562,0.5948663922351526,0.8836568833683279,0.37461550846539077,0.06782295618648658,0.6304209206946836,0.3052002744710377,0.3993439263144773,7.87450833711105,8.350846492771492,12.151789640239485,80.59701492537313,C,67.9
UCO,ProShares Ultra Bloomberg Crude Oil,원자재/에너지,2.0,53.04999923706055,120.50933948328019,120.57330855859756,0.9994694590694898,0.8709490055410767,0.8514572850457137,2.672315893092543,0.44787118233545264,0.21392540529142223,0.9744673140207155,3.9055534907653713,3.100634688021331,2.8898328628466086,62.68656716417911,C,64.6
FNGU,MicroSectors FANG+ 3X Leveraged ETNs,기타,3.0,32.97999954223633,113.27292679543496,119.56413038516999,0.9473821825202239,0.8913692725225477,0.6487556054821045,0.4977895505752319,0.12329696378168498,0.03442553067635893,0.8966829971946728,4.698889747494207,3.6457231267355006,2.613566174672788,23.88059701492537,C,64.1
NOWL,GraniteShares 2x Long NOW Daily ETF,기타,2.0,7.230000019073486,46.17433038547516,76.07306974286993,0.6069734078241653,0.9496661577486962,0.33825159523209947,-0.4894629310128812,0.7720588613408941,0.37601924479414295,0.2939024352422197,9.088661419579568,8.00026281023072,2.991453542985001,86.56716417910447,C,63.1
SKYY,First Trust Cloud Computing ETF,AI/테크,1.0,162.02000427246094,35.579813841552735,40.03833163625082,0.8886437667981818,0.9388854512512875,0.8621059086912511,0.17611074900031984,0.2285410848781102,0.20852071312550202,0.9584146781875863,2.314599584557702,1.8536937023517774,2.2401735498276842,61.19402985074627,C,62.9
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,귀금속,3.0,141.50999450683594,269.7226715934372,199.94789959623972,1.348964766012024,0.947687813217268,0.9296202493574328,-1.1838921798160467,0.23827437887995573,0.07275133570911585,0.26167755249917046,12.627407047970667,8.82582759747872,-5.21768813509087,32.83582089552239,C,62.3
MSFU,Direxion Daily MSFT Bull 2X ETF,기타,2.0,36.81999969482422,93.0648609833908,165.01203977871896,0.5639883072058907,0.9109821656071512,0.4324113112563557,-0.5292246625067107,0.5863852282293525,0.28318242823837214,0.6252334874585915,4.37702392306832,3.733708621928211,-1.1808874034615835,79.1044776119403,C,61.7
BMNU,T-REX 2X Long BMNR Daily Target ETF,기타,2.0,20.389999389648438,104.3944608902359,63.32290588699937,1.648605025747386,1.2377499777739873,1.3958326513105959,0.60334603385835,1.0389999389648437,0.5094897836061177,0.047908832465310455,13.919437104851601,13.713978432034413,4.564099434094548,89.55223880597015,C,61.4
NUGT,Direxion Daily Gold Miners Index Bull 2X ETF,귀금속,2.0,176.52000427246094,135.03263456367492,102.48423134109497,1.3175942561763492,0.9589318824155579,0.9149875752666357,-1.0709437114621019,0.247843884452162,0.1139117563497769,0.5502665281663283,7.321846832436398,5.678488952820127,-3.4143086134430845,37.3134328358209,C,60.1
RING,iShares MSCI Global Gold Miners ETF,귀금속,1.0,84.08999633789062,72.50814900218964,59.404185841128026,1.2205898957374346,0.9522149745837984,1.0666741956886938,-0.8764284198154568,0.1785563859316741,0.15853601417906593,0.8374663207947153,3.616849603670131,2.849847600843858,-1.614607304437743,49.25373134328358,C,59.9
BITX,2x Bitcoin ETF,크립토,2.0,18.700000762939453,238.5948770407486,152.1211908425236,1.5684525983480033,1.2085406923602222,1.1233933069809234,1.1098367502134125,0.5635452093055968,0.2717624187764943,0.27902121306468425,5.498893538053471,4.963396415870869,9.806224362653815,74.6268656716418,C,59.8
MGK,Vanguard Morningstar Mega Cap Growth ETF,기타,1.0,90.88999938964844,99.73392845100403,110.90442386765797,0.8992781800121548,0.855564806817779,0.8672541428678012,1.0088165277581465,0.026193967515163008,0.006173595762554829,0.9838709903867809,1.6132796128182358,0.9477819966439149,1.1012211868367316,13.432835820895523,C,59.2
GDX,VanEck Gold Miners ETF,귀금속,1.0,95.4800033569336,2251.8878839023973,1913.9951357069142,1.1765379346539906,0.9512487103918266,0.9608209804745115,-0.9129855398296205,0.15719307823175965,0.13717270647915147,0.8148148413404321,3.695556447216456,2.832063661894546,-1.668378107770263,41.7910447761194,C,58.7
HGER,Harbor Commodity All-Weather Strategy ETF,원자재/에너지,1.0,35.970001220703125,39.3066506227684,46.32309570958456,0.8485324657314643,0.9154541352795895,1.0301034665055508,1.0251479921508033,0.20260787041813844,0.18258749866553026,0.9860197826772796,1.1325561277191147,0.9360792892792791,-0.47038785782050896,59.70149253731343,C,58.4
ETHU,2x Ether ETF,크립토,2.0,29.59000015258789,222.52049744283676,133.96828305163544,1.6609938738788688,1.3616579664125947,1.2963511487124424,1.7632738099082599,1.1918518631546586,0.5859157457010252,0.17462378687221833,6.515176581447929,6.512104979757161,6.784558391301765,97.01492537313433,C,58.3
IBIT,iShares Bitcoin Trust ETF,크립토,1.0,46.02000045776367,2592.361238167553,1900.67411992513,1.363916734063633,1.1813327540682208,1.2046915934856135,1.2600804537436716,0.291970854512561,0.2719504827599528,0.6407685972335105,2.8242068733588344,2.473330481722469,5.140507142948647,76.11940298507463,C,57.7
PPLT,abrdn Physical Platinum Shares ETF,귀금속,1.0,16.309999465942383,45.876817744326594,38.472268886305486,1.1924645744160105,0.9797357740907687,0.9543211979649534,-0.18534870380638205,0.06115807334953072,0.04113770159692254,0.62342324963294,3.1230012046328306,2.0185214605263457,0.30749837857773077,26.865671641791046,C,57.6
VGT,Vanguard Information Tech ETF,기타,1.0,122.30999755859375,424.9115503878403,463.7853216658656,0.9161815403333702,0.9052791845571375,0.8032985325430226,1.1478456806431814,0.018910335102911402,-0.0011100366496967773,0.9707142663380456,1.9777960848391198,1.2686748495310152,1.0241991136492379,10.44776119402985,C,57.6
BITB,Bitwise Bitcoin ETF,크립토,1.0,44.099998474121094,55.85568365114212,48.673616506411236,1.147555650478219,1.1772167283165267,1.0111369070078975,1.2901312333872266,0.29211828578933097,0.2720979140367228,0.6415478592466567,2.7802901245577973,2.401470396305494,5.1502143970899805,77.61194029850746,C,57.5
BCI,abrdn Bloomberg All Commodity Strategy K-1 F,원자재/에너지,1.0,26.450000762939453,35.98733913253784,41.37517065915426,0.8697810440227306,0.9593006424400928,0.7465900218742881,1.3964889159290763,0.15300785297152686,0.13298748121891868,0.9854694714071812,1.2001606520616204,1.0007771256141496,-0.11328844341188526,40.298507462686565,C,56.8
BITU,ProShares Ultra Bitcoin ETF,크립토,2.0,14.470000267028809,73.67037075029373,52.451232434220316,1.4045498519540904,1.2020922312998115,1.1662637233667994,1.0858259065902918,0.5426439328877635,0.26131178056757765,0.22468943981645856,5.597060888324774,4.922314403646588,9.621215728141541,67.16417910447761,C,56.8
BNO,"United States Brent Oil Fund, LP ETV",원자재/에너지,1.0,60.56999969482422,101.46700096132278,91.73690114989598,1.106065276780257,1.0314974306741391,1.126157915619627,1.9894636086100408,0.38035547448599605,0.36033510273338787,0.946702096408097,3.136162444786239,2.492421242333487,-1.303567298328412,85.07462686567165,C,56.6
FBTC,Fidelity Wise Origin Bitcoin Fund,크립토,1.0,70.66000366210938,278.3157025511551,236.24036310393652,1.1781039399634985,1.178256919679939,1.1581912856306285,1.264044705066645,0.29012238582322825,0.27010201407062007,0.6409070626948696,2.7986777265433465,2.4325054352383635,5.070637415776025,73.13432835820896,C,55.3
IGV,iShares Expanded Tech-Software Sector ETF,AI/테크,1.0,104.3499984741211,1091.321907233963,1252.2863674089813,0.8714635371236543,0.9625085853880176,0.7645908160901498,-0.15312001262348443,0.1712874931361994,0.15126712138359122,0.8843969858750478,2.6487987490921023,2.307205123107403,2.787629949402648,46.26865671641791,C,55.3
