ticker,name,category,leverage,inverse,yahoo_ok,krx_advol_억
0067V0.KS,TIGER 차이나글로벌리더스TOP3+,기타,1.0,False,False,0.1
0067Y0.KS,TIGER 차이나AI소프트웨어,AI/테크,1.0,False,False,1.4
0068M0.KS,KODEX 미국S&P500버퍼6월액티브,지수/광범위,1.0,False,False,0.0
0069M0.KS,1Q 미국나스닥100,AI/테크,1.0,False,False,16.4
0072R0.KS,TIGER KRX금현물,귀금속,1.0,False,False,84.6
0073X0.KS,FOCUS 알리바바미국채커버드콜혼합,채권/금리,1.0,False,False,0.1
0074K0.KS,KoAct K수출핵심기업TOP30액티브,기타,1.0,False,False,22.8
0078V0.KS,PLUS 미국로보택시,기타,1.0,False,False,0.1
0079X0.KS,ACE BYD밸류체인액티브,기타,1.0,False,False,0.3
0080G0.KS,KODEX 방산TOP10,우주/방산,1.0,False,False,215.4
0080X0.KS,SOL 미국S&P500미국채혼합50,채권/금리,1.0,False,False,8.5
0080Y0.KS,SOL 조선TOP3플러스레버리지,우주/방산,2.0,False,False,63.8
0082F0.KS,HANARO 유럽방산,우주/방산,1.0,False,False,0.1
0082V0.KS,KODEX TDF2060액티브 적격,기타,1.0,False,False,12.0
0083S0.KS,1Q 미국메디컬AI,기타,1.0,False,False,0.8
0084D0.KS,KIWOOM 미국테크100월간목표헤지액티브,AI/테크,1.0,False,False,0.0
0084E0.KS,KIWOOM 미국대형주500월간목표헤지액티브,기타,1.0,False,False,0.0
0085N0.KS,ACE 미국10년국채액티브(H),채권/금리,1.0,False,False,2.9
0085P0.KS,ACE 미국10년국채액티브,채권/금리,1.0,False,False,17.0
0086B0.KS,TIGER 리츠부동산인프라TOP10액티브,부동산/리츠,1.0,False,False,2.0
0086C0.KS,TIGER 리츠부동산인프라10채권혼합액티브,부동산/리츠,1.0,False,False,0.4
0087F0.KS,ACE 차이나AI빅테크TOP2+액티브,AI/테크,1.0,False,False,0.2
0088N0.KS,WON K-글로벌수급상위,기타,1.0,False,False,0.7
0089B0.KS,PLUS 미국나스닥100미국채혼합50,AI/테크,1.0,False,False,2.4
0089C0.KS,KODEX 미국S&P500변동성확대시커버드콜,지수/광범위,1.0,False,False,0.1
0089D0.KS,KODEX 금융고배당TOP10,금융,1.0,False,False,16.0
0090B0.KS,PLUS K방산소부장,반도체,1.0,False,False,4.3
0091C0.KS,KODEX 미국10년국채액티브(H),채권/금리,1.0,False,False,5.5
0091M0.KS,HANARO 27-06 회사채(AA-이상)액티브,채권/금리,1.0,False,False,0.0
0091P0.KS,TIGER 코리아원자력,원자재/에너지,1.0,False,False,212.8
0092B0.KS,SOL 한국원자력SMR,원자재/에너지,1.0,False,False,24.3
0092C0.KS,SOL 27-12 회사채(AA-이상)액티브,채권/금리,1.0,False,False,1.5
0093A0.KS,RISE AI반도체TOP10,반도체,1.0,False,False,22.6
0093B0.KS,RISE 엔비디아고정테크100,AI/테크,1.0,False,False,0.4
0093D0.KS,KoAct 팔란티어밸류체인액티브,기타,1.0,False,False,2.4
0094K0.KS,TIGER 28-04 회사채(A+이상)액티브,채권/금리,1.0,False,False,20.5
0094L0.KS,RISE 차이나테크TOP10위클리타겟커버드콜,AI/테크,1.0,False,False,1.5
0094M0.KS,RISE 코리아밸류업위클리고정커버드콜,기타,1.0,False,False,122.0
0094X0.KS,1Q 샤오미밸류체인액티브,기타,1.0,False,False,0.2
0097L0.KS,KIWOOM 한국고배당&미국AI테크,AI/테크,1.0,False,False,1.5
0098F0.KS,KODEX 원자력SMR,원자재/에너지,1.0,False,False,62.9
0098N0.KS,PLUS 자사주매입고배당주,기타,1.0,False,False,10.2
0098Z0.KS,FOCUS 200,기타,1.0,False,False,0.0
0099L0.KS,ACE 우량회사채(AA-이상)액티브,채권/금리,1.0,False,False,16.6
0100K0.KS,KODEX 방산TOP10레버리지,우주/방산,2.0,False,False,19.7
0101N0.KS,RISE AI전력인프라,기타,1.0,False,False,53.8
0102A0.KS,TIGER 미국AI소프트웨어TOP4Plus,AI/테크,1.0,False,False,8.3
0102X0.KS,ACE 유럽방산TOP10,우주/방산,1.0,False,False,0.3
0103T0.KS,1Q K소버린AI,기타,1.0,False,False,4.7
0104G0.KS,PLUS K방산레버리지,우주/방산,2.0,False,False,9.4
0104H0.KS,KoAct 미국나스닥채권혼합50액티브,AI/테크,1.0,False,False,7.7
0104N0.KS,TIGER 200타겟위클리커버드콜,기타,1.0,False,False,23.4
0104P0.KS,TIGER 코리아배당다우존스위클리커버드콜,기타,1.0,False,False,4.4
0105D0.KS,SOL 한국AI소프트웨어,AI/테크,1.0,False,False,7.5
0105E0.KS,SOL 코리아고배당,기타,1.0,False,False,58.8
0107F0.KS,KIWOOM 미국고배당&AI테크,AI/테크,1.0,False,False,2.0
0111J0.KS,HANARO 증권고배당TOP3플러스,금융,1.0,False,False,8.7
0111P0.KS,1Q 미국나스닥100미국채혼합50액티브,AI/테크,1.0,False,False,13.0
0112X0.KS,마이티 200TR,기타,1.0,False,False,8.6
0113D0.KS,TIME 글로벌탑픽액티브,기타,1.0,False,False,3.9
0113G0.KS,KoAct 미국바이오헬스케어액티브,바이오/헬스,1.0,False,False,0.5
0113P0.KS,HK 머니마켓액티브,채권/금리,1.0,False,False,0.0
0114X0.KS,RISE 글로벌게임테크TOP3Plus,AI/테크,1.0,False,False,0.2
0115C0.KS,RISE 미국고배당다우존스TOP10,기타,1.0,False,False,1.0
0115D0.KS,KODEX 조선TOP10,우주/방산,1.0,False,False,132.5
0115E0.KS,KODEX 코리아소버린AI,기타,1.0,False,False,44.1
0117L0.KS,KODEX 26-12 금융채(AA-이상)액티브,금융,1.0,False,False,0.7
0117V0.KS,TIGER 코리아AI전력기기TOP3플러스,기타,1.0,False,False,299.6
0118S0.KS,SOL 미국넥스트테크TOP10액티브,AI/테크,1.0,False,False,1.8
0118Z0.KS,ACE 미국AI테크핵심산업액티브,AI/테크,1.0,False,False,1.8
0119H0.KS,KODEX 28-12 회사채(AA-이상)액티브,채권/금리,1.0,False,False,0.6
0120J0.KS,BNK 카카오그룹포커스,기타,1.0,False,False,0.4
0122W0.KS,RISE 26-11 회사채(AA-이상)액티브,채권/금리,1.0,False,False,1.4
0123G0.KS,TIGER 미국AI전력SMR,기타,1.0,False,False,6.7
0123S0.KS,HANARO 26-12 은행채(AA+이상)액티브,금융,1.0,False,False,0.2
0127M0.KS,ACE 미국대형가치주액티브,기타,1.0,False,False,9.1
0127P0.KS,ACE 미국대형성장주액티브,기타,1.0,False,False,0.6
0127R0.KS,RISE 미국AI클라우드인프라,AI/테크,1.0,False,False,7.3
0127T0.KS,KIWOOM 미국S&P500&배당다우존스비중전환,지수/광범위,1.0,False,False,0.2
0127V0.KS,KIWOOM 미국S&P500 TOP10&배당다우비중전환,지수/광범위,1.0,False,False,0.3
0128D0.KS,PLUS 차이나항셍테크위클리타겟커버드콜,AI/테크,1.0,False,False,0.2
0131A0.KS,SOL 차이나소비트렌드,기타,1.0,False,False,0.0
0131V0.KS,1Q 미국우주항공테크,우주/방산,1.0,False,False,29.8
0131W0.KS,1Q 단기특수은행채액티브,금융,1.0,False,False,0.1
0132D0.KS,KoAct 글로벌K컬처밸류체인액티브,기타,1.0,False,False,1.0
0132H0.KS,KODEX 미국원자력SMR,원자재/에너지,1.0,False,False,2.6
0132K0.KS,PLUS 테슬라위클리커버드콜채권혼합,채권/금리,1.0,False,False,13.4
0133E0.KS,TIGER 차이나증권,금융,1.0,False,False,0.6
0135Y0.KS,IBK 중기종합채권(AA-이상)액티브,채권/금리,1.0,False,False,0.0
0137V0.KS,KIWOOM 미국S&P500모멘텀,지수/광범위,1.0,False,False,10.0
0137W0.KS,KIWOOM 미국S&P500&GOLD,귀금속,1.0,False,False,0.7
0138D0.KS,RISE 동학개미,기타,1.0,False,False,0.3
0138T0.KS,RISE 미국S&P500데일리고정커버드콜,지수/광범위,1.0,False,False,4.6
0138Y0.KS,PLUS 금채권혼합,채권/금리,1.0,False,False,28.3
0139F0.KS,TIGER 12월자동연장금융채(AA-이상)액티브,금융,1.0,False,False,0.1
0139P0.KS,ACE 고배당주,기타,1.0,False,False,4.9
0141S0.KS,SOL 조선기자재,우주/방산,1.0,False,False,18.2
0141T0.KS,SOL 중기종합채권(AA-이상)액티브,채권/금리,1.0,False,False,0.0
0142D0.KS,TIGER 미국AI데이터센터TOP4Plus,AI/테크,1.0,False,False,28.2
0144L0.KS,KODEX 미국성장커버드콜액티브,기타,1.0,False,False,16.7
0144M0.KS,KODEX 미국드론UAM TOP10,기타,1.0,False,False,1.0
0148J0.KS,TIGER 코리아휴머노이드로봇산업,AI/테크,1.0,False,False,1017.8
0150K0.KS,KoAct 수소전력ESS인프라액티브,기타,1.0,False,False,4.4
0151P0.KS,RISE 코리아전략산업액티브,기타,1.0,False,False,17.5
0151S0.KS,KODEX 미국AI반도체TOP3플러스,반도체,1.0,False,False,49.7
0152E0.KS,SOL 배당성향탑픽액티브,기타,1.0,False,False,1.3
0153K0.KS,KODEX 주주환원고배당주,기타,1.0,False,False,15.3
0153P0.KS,ACE 리츠부동산인프라액티브,부동산/리츠,1.0,False,False,0.1
0153X0.KS,PLUS 미국고배당주액티브,기타,1.0,False,False,1.8
0154F0.KS,WON 초대형IB&금융지주,금융,1.0,False,False,1.3
0154H0.KS,KoAct 차이나바이오헬스케어액티브,바이오/헬스,1.0,False,False,0.1
0155M0.KS,ACE 미국SMR원자력TOP10,원자재/에너지,1.0,False,False,0.9
0155N0.KS,HANARO K휴머노이드테마TOP10,기타,1.0,False,False,13.4
0162L0.KS,KODEX 차이나AI반도체TOP10,반도체,1.0,False,False,119.6
0162M0.KS,KODEX 금융채1~2년(AA-이상)PLUS액티브,금융,1.0,False,False,1.0
0162Y0.KS,TIME 코스닥액티브,지수/광범위,1.0,False,False,47.3
0162Z0.KS,RISE 삼성전자SK하이닉스채권혼합50,채권/금리,1.0,False,False,805.0
0163Y0.KS,KoAct 코스닥액티브,지수/광범위,1.0,False,False,74.5
0164G0.KS,RISE 차이나AI반도체TOP4Plus,반도체,1.0,False,False,3.9
0166N0.KS,PLUS 코스닥150액티브,지수/광범위,1.0,False,False,9.2
0166S0.KS,PLUS K제조업핵심기업액티브,기타,1.0,False,False,3.7
0166T0.KS,PLUS 글로벌저작권핵심기업액티브,기타,1.0,False,False,0.0
0167A0.KS,SOL AI반도체TOP2플러스,반도체,1.0,False,False,3495.5
0167B0.KS,SOL 200타겟위클리커버드콜,기타,1.0,False,False,121.8
0167Z0.KS,KODEX 미국우주항공,우주/방산,1.0,False,False,44.8
0168K0.KS,TIGER 기술이전바이오액티브,바이오/헬스,1.0,False,False,79.4
0172V0.KS,1Q 은액티브,기타,1.0,False,False,7.2
0172Y0.KS,ACE K수출핵심TOP10산업액티브,기타,1.0,False,False,0.4
0173Y0.KS,KODEX 미국AI광통신네트워크,기타,1.0,False,False,202.1
0174B0.KS,KoAct 글로벌AI메모리반도체액티브,반도체,1.0,False,False,20.9
0174J0.KS,DAISHIN343 오피스리츠플러스,부동산/리츠,1.0,False,False,0.0
0174R0.KS,KIWOOM 미국성장다우존스,기타,1.0,False,False,1.5
0176E0.KS,RISE 미국AI전력인프라액티브,기타,1.0,False,False,2.9
0176P0.KS,FOCUS AI반도체위클리고정커버드콜,반도체,1.0,False,False,0.3
0177A0.KS,WON 두산그룹포커스,기타,1.0,False,False,4.0
0177N0.KS,KODEX 삼성전자SK하이닉스채권혼합50,채권/금리,1.0,False,False,513.9
0177R0.KS,TIGER 반도체TOP10커버드콜액티브,반도체,1.0,False,False,336.1
0177X0.KS,ACE K휴머노이드로봇산업TOP2+,AI/테크,1.0,False,False,108.1
0178H0.KS,IBK 미국AI TOP10국채혼합50,채권/금리,1.0,False,False,0.9
0180V0.KS,ACE 미국우주테크액티브,우주/방산,1.0,False,False,65.4
0181B0.KS,HANARO 미국AI메모리반도체TOP4+,반도체,1.0,False,False,55.5
0181L0.KS,SOL 미국우주항공TOP10,우주/방산,1.0,False,False,7.1
0182R0.KS,1Q K반도체TOP2+,반도체,1.0,False,False,367.5
0182S0.KS,1Q K반도체TOP2채권혼합50,반도체,1.0,False,False,38.5
0183J0.KS,TIGER 미국우주테크,우주/방산,1.0,False,False,167.9
0183V0.KS,KIWOOM 삼성전자&SK하이닉스채권혼합50,채권/금리,1.0,False,False,75.7
0184E0.KS,1Q 200채권혼합50액티브,채권/금리,1.0,False,False,8.0
0184L0.KS,PLUS 중기종합채권(A-이상)액티브,채권/금리,1.0,False,False,10.1
0184N0.KS,PLUS 은채권혼합,채권/금리,1.0,False,False,2.6
0184V0.KS,UNICORN K바이오액티브,바이오/헬스,1.0,False,False,3.7
0185L0.KS,TIME 글로벌휴머노이드로봇산업액티브,AI/테크,1.0,False,False,4.1
0186L0.KS,KoAct 미국로봇피지컬AI액티브,AI/테크,1.0,False,False,1.3
0186S0.KS,1Q 코스닥150채권혼합50액티브,채권/금리,1.0,False,False,41.0
0189B0.KS,TIGER 은액티브,기타,1.0,False,False,4.4
0189Z0.KS,DAISHIN343 금융&지주고배당,금융,1.0,False,False,0.1
0190C0.KS,RISE 현대차고정피지컬AI,기타,1.0,False,False,285.3
0190G0.KS,KODEX 반도체타겟위클리커버드콜,반도체,1.0,False,False,25.9
0190M0.KS,KIWOOM 미국AI테크하이베타,AI/테크,1.0,False,False,2.5
0190Y0.KS,TIGER 구글밸류체인,기타,1.0,False,False,2.4
0191B0.KS,MIDAS 코스닥액티브,지수/광범위,1.0,False,False,4.7
0191M0.KS,마이티 5월만기자동연장특수채(AAA)액티브,기타,1.0,False,False,0.0
0191S0.KS,IBK 코스닥150,지수/광범위,1.0,False,False,2.1
0191W0.KS,HANARO 중기종합채권(A-이상)액티브,채권/금리,1.0,False,False,0.0
0192L0.KS,RISE SK하이닉스단일종목레버리지,지수/광범위,2.0,False,False,5.1
0192M0.KS,RISE 삼성전자단일종목레버리지,지수/광범위,2.0,False,False,3.0
0192S0.KS,SOL 코스피200채권혼합50,채권/금리,1.0,False,False,19.9
0192T0.KS,SOL 코스닥TOP10,지수/광범위,1.0,False,False,33.8
0192Z0.KS,TIGER 중기종합채권(A-이상)액티브,채권/금리,1.0,False,False,0.0
0193G0.KS,KoAct 코스피액티브,지수/광범위,1.0,False,False,18.1
0193K0.KS,PLUS 삼성전자단일종목레버리지,지수/광범위,2.0,False,False,5.2
0193L0.KS,PLUS 삼성전자선물단일종목인버스2X,지수/광범위,2.0,True,False,78.3
0193M0.KS,BNK 27-12 특수채(AAA이상)액티브,기타,1.0,False,False,0.0
0193T0.KS,KODEX SK하이닉스단일종목레버리지,지수/광범위,2.0,False,False,2691.1
0193W0.KS,KODEX 삼성전자단일종목레버리지,지수/광범위,2.0,False,False,1472.8
0194M0.KS,ACE 삼성전자단일종목레버리지,지수/광범위,2.0,False,False,27.8
0194N0.KS,KIWOOM 삼성전자선물단일종목레버리지,지수/광범위,2.0,False,False,2.6
0194R0.KS,KIWOOM SK하이닉스선물단일종목레버리지,지수/광범위,2.0,False,False,3.3
0194T0.KS,ACE SK하이닉스단일종목레버리지,지수/광범위,2.0,False,False,26.6
0195R0.KS,TIGER 삼성전자단일종목레버리지,지수/광범위,2.0,False,False,909.0
0195S0.KS,TIGER SK하이닉스단일종목레버리지,지수/광범위,2.0,False,False,1727.8
0197W0.KS,SOL SK하이닉스단일종목레버리지,지수/광범위,2.0,False,False,21.6
0197X0.KS,SOL SK하이닉스선물단일종목인버스2X,지수/광범위,2.0,True,False,1462.5
0198A0.KS,KIWOOM 코스닥150커버드콜액티브,지수/광범위,1.0,False,False,39.0
0198B0.KS,1Q 삼성전자선물단일종목레버리지,지수/광범위,2.0,False,False,4.0
0198D0.KS,1Q SK하이닉스선물단일종목레버리지,지수/광범위,2.0,False,False,6.2
0199C0.KS,ACE 고배당주Plus커버드콜액티브,기타,1.0,False,False,60.6
0203D0.KS,PLUS 200위클리커버드콜채권혼합,채권/금리,1.0,False,False,1.7
0203R0.KS,WON 중단기종합채권(A-이상)액티브,채권/금리,1.0,False,False,0.0
0203S0.KS,WON 삼성전자현대차채권혼합50,채권/금리,1.0,False,False,8.6
0204D0.KS,KODEX 현대차로보틱스밸류체인TOP3플러스,기타,1.0,False,False,186.0
0204S0.KS,TIGER 코스닥액티브,지수/광범위,1.0,False,False,9.7
0206G0.KS,1Q 현대차기아채권혼합50,채권/금리,1.0,False,False,25.0
0207G0.KS,SOL 우주항공밸류체인,우주/방산,1.0,False,False,35.7
0207Z0.KS,KIWOOM 미국우주데이터센터인프라,우주/방산,1.0,False,False,1.2
0208N0.KS,IBK 코스피액티브,지수/광범위,1.0,False,False,0.3
0209D0.KS,KODEX 전고체배터리ESS TOP2플러스,2차전지,1.0,False,False,49.9
0209Z0.KS,ACE 코리아AI전력TOP10,기타,1.0,False,False,11.6
0210A0.KS,ACE K반도체TOP2+,반도체,1.0,False,False,287.8
0210E0.KS,PLUS 200커버드콜액티브,기타,1.0,False,False,10.6
0214M0.KS,MIDAS 바이오헬스케어액티브,바이오/헬스,1.0,False,False,0.1
0215T0.KS,HANARO 미국AI광통신TOP10,기타,1.0,False,False,4.9
0216K0.KS,KIWOOM 미국우주테크TOP2채권혼합50,우주/방산,1.0,False,False,9.8
0216Z0.KS,ACE K방산TOP5+,우주/방산,1.0,False,False,9.8
0218J0.KS,RISE 미국우주&로봇TOP2미국채혼합50,우주/방산,1.0,False,False,7.6
0218K0.KS,BNK 스마트카,기타,1.0,False,False,0.2
0219B0.KS,KoAct 광통신&위성네트워크액티브,기타,1.0,False,False,7.7
0219E0.KS,KODEX 200커버드콜액티브,기타,1.0,False,False,395.1
0219Z0.KS,HANARO 미국S&P500액티브,지수/광범위,1.0,False,False,1.1
0220A0.KS,KIWOOM 현대차그룹TOP3채권혼합50,채권/금리,1.0,False,False,17.7
0220B0.KS,DS 코스닥액티브,지수/광범위,1.0,False,False,12.8
0221V0.KS,IBK 초단기채권액티브,채권/금리,1.0,False,False,2.6
0221Z0.KS,ACE K바이오코스닥액티브,바이오/헬스,1.0,False,False,40.6
0222D0.KS,KoAct 고배당액티브,기타,1.0,False,False,3.3
0222F0.KS,마이티 AI데이터센터밸류체인,AI/테크,1.0,False,False,5.0
0223A0.KS,RISE 코스닥커버드콜액티브,지수/광범위,1.0,False,False,28.4
0223R0.KS,TIGER 미국테크NYSE100액티브,AI/테크,1.0,False,False,3.4
0224D0.KS,KIWOOM 미국CPU반도체TOP4+,반도체,1.0,False,False,7.7
0224X0.KS,1Q 엔비디아알파벳미국채혼합50,채권/금리,1.0,False,False,11.8
0225V0.KS,KODEX 미국CPU반도체TOP10,반도체,1.0,False,False,54.7
